Item Name,Qty,Price (total) (USD),Item link,Notes
IRL540N,10,$3.23,https://www.aliexpress.com/item/1005006138566511.html,
Piezos,10,$3.42,https://www.aliexpress.com/item/1005010195840288.html,
250W Dc-Dc Boost converter,1,$3.67,https://www.aliexpress.com/item/32294612973.html,
Diodes,100,$1.00,https://www.aliexpress.com/item/1005009923993443.html,
1K Resistors,100,$2.65,https://www.aliexpress.com/item/1005004207309021.html,
74HC595 ,10,$1.00,https://www.aliexpress.com/item/1005004856540723.html,
Arduino nano,1,$5.82,https://www.aliexpress.com/item/1005002867053794.html,
27 gauge needles,50,$1.26,https://www.aliexpress.com/item/1005006766007503.html,
Hyrdophobic membrane,48,$4.21,https://www.aliexpress.com/item/1005012625927979.html,
3X5 5 Metre tubing,1,$1.00,https://www.aliexpress.com/item/1005008700320641.html,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$27.26,,,
